"","GEOID","state","county_name","geometry","distance_nearest_farmersmarket(mile)","nearest_farmersmarket_name","nearest_farmersmarket_id","market_county_geoid","market_county_name","farmersmarket_desert"
"52","23017","Maine","Oxford",c(1979186.44917587, 2654228.01265086),21.0450876086344,"Berlin Local Works Farmers Marketplace","311643","33007","Coos",TRUE
"53","24005","Maryland","Baltimore",c(1639221.24466166, 1994328.62096182),0.405449393544471,"Hereford Farm Market","301059","24005","Baltimore",FALSE
"54","24025","Maryland","Harford",c(1663863.91102019, 2010718.818072),2.42934935615037,"Marketplace on Main","310815","24025","Harford",FALSE
"55","24041","Maryland","Talbot",c(1700578.68015673, 1928006.86936035),14.0712659063319,"Eastern Shore Farmers' Market","310790","24035","Queen Anne's",FALSE
"56","24015","Maryland","Cecil",c(1694970.33966961, 2018472.39731234),1.82083532526676,"Cecil County Farmers' Market","310777","24015","Cecil",FALSE
"57","25009","Massachusetts","Essex",c(2017190.63695051, 2453561.31173592),2.77598370292775,"Topsfield Farmers' Market","310744","25009","Essex",FALSE
"58","25005","Massachusetts","Bristol",c(2029825.88279387, 2355496.84680312),4.18046050973248,"Southcoast Open Air Farmers Market","310732","25005","Bristol",FALSE
"59","25021","Massachusetts","Norfolk",c(2011549.17574664, 2392685.27203917),2.20227305259802,"Walpole Farmers Market","314104","25021","Norfolk",FALSE
"60","26041","Michigan","Delta",c(703814.95001444, 2581513.53939564),6.7919979869161,"City of Gladstone Farmers Market","310936","26041","Delta",FALSE
"61","26055","Michigan","Grand Traverse",c(824426.572121238, 2454158.83522985),6.32758423079713,"Kinglsey Farmers Market","311030","26055","Grand Traverse",FALSE
"62","26007","Michigan","Alpena",c(970941.479878636, 2512873.08670913),8.88794104981889,"Alpena Farmers Market","310894","26007","Alpena",FALSE
"63","26103","Michigan","Marquette",c(643436.950116683, 2632947.72908131),14.0705168467282,"Marquette Farmers & Artists Market","311047","26103","Marquette",FALSE
"64","26147","Michigan","St. Clair",c(1077592.30172368, 2290941.22954174),9.07837243965979,"Summer Thyme Farmers Market and Flea Market","311129","26147","St. Clair",FALSE
"65","26071","Michigan","Iron",c(577031.821755768, 2602699.18528465),35.0128177907453,"Iron Mountain Farmers & Artisans Market","311022","26043","Dickinson",TRUE
"66","27027","Minnesota","Clay",c(-37546.5649558619, 2655834.85510679),13.2433001711393,"Red Rivier Farmers' Market","307495","27027","Clay",FALSE
"67","27091","Minnesota","Martin",c(116341.603037905, 2298874.17236318),5.71720517159013,"Fairmont Farmers' Market Association","307741","27091","Martin",FALSE
"68","28033","Mississippi","DeSoto",c(544417.990590397, 1330075.60130718),3.64336097916771,"Hernando Farmers Market","300210","28033","DeSoto",FALSE
"69","28157","Mississippi","Wilkinson",c(445394.688082232, 909374.095426497),27.6728765607138,"ASUEP Natchez Farmers Market","311359","28001","Adams",TRUE
"70","29113","Missouri","Lincoln",c(431892.339074569, 1792865.3804137),19.9598624697431,"Warren County Farmers' & Artisans' Market","311352","29219","Warren",FALSE
"71","30001","Montana","Beaverhead",c(-1320771.7129548, 2577986.73642856),13.4572400523429,"Dillon Farmers' Market","311414","30001","Beaverhead",FALSE
"72","30105","Montana","Valley",c(-796590.930851959, 2862962.60636963),11.7477207290341,"Glasgow Farmers' Market","311416","30105","Valley",FALSE
"73","31033","Nebraska","Cheyenne",c(-581354.943739601, 2044995.44375466),31.5065973791899,"Bridgeport Farmer's Market","311608","31123","Morrill",TRUE
"74","31049","Nebraska","Deuel",c(-527300.889456486, 2029066.60502366),55.188591646235,"Bridgeport Farmer's Market","311608","31123","Morrill",TRUE
"75","34015","New Jersey","Gloucester",c(1757885.20673967, 2048989.09115042),8.27506516722733,"The Woodbury Farmers Market","314087","34015","Gloucester",FALSE
"76","36013","New York","Chautauqua",c(1356952.49863405, 2255462.30669281),11.0750213430194,"Jamestown Farmers Market - Winter","313943","36013","Chautauqua",FALSE
"77","36045","New York","Jefferson",c(1591590.50636265, 2508571.93563061),3.7581147580043,"Watertown Mobile Farmers' Market - Curtis Apartments","312133","36045","Jefferson",FALSE
"78","36059","New York","Nassau",c(1860002.60099986, 2189400.76545873),1.73677871710784,"East Meadow Farmers Market","311891","36059","Nassau",FALSE
"79","37133","North Carolina","Onslow",c(1675854.40508326, 1461076.21450329),4.90894850788012,"Onslow County Farmers Market","300803","37133","Onslow",FALSE
"80","37009","North Carolina","Ashe",c(1282982.86065018, 1585416.14459265),17.1218964230915,"Johnson County Farmers' Market","312795","47091","Johnson",FALSE
"81","37169","North Carolina","Stokes",c(1394142.74543789, 1599616.38414939),5.02782816460061,"Stokes Farmers Market","311558","37169","Stokes",FALSE
"82","37053","North Carolina","Currituck",c(1763489.81767728, 1670265.01318547),19.5064927034506,"Cullipher Farm Market","313079","51810","Virginia Beach",FALSE
"83","37173","North Carolina","Swain",c(1121691.54912615, 1455197.31385127),13.8910611253472,"Stecoah Tailgate Market","311557","37075","Graham",FALSE
"84","37131","North Carolina","Northampton",c(1642308.11769385, 1646789.87401969),13.9231235329429,"Red Barn Market","311538","37131","Northampton",FALSE
"85","38035","North Dakota","Grand Forks",c(-109739.378880746, 2770364.68361166),19.958267954511,"Town Square Farmers Market","313776","38035","Grand Forks",FALSE
"86","38067","North Dakota","Pembina",c(-115374.67864157, 2863594.50173608),24.9738938953421,"Grafton Farmers' Market","311595","38099","Walsh",TRUE
"87","39123","Ohio","Ottawa",c(1061403.02425867, 2131126.55860895),13.4170773390397,"Ralph's Joy of Living Farmers' Market","312310","39143","Sandusky",FALSE
"88","45051","South Carolina","Horry",c(1552343.07685658, 1345445.3132802),6.7059004138482,"Conway Farmers Market","300383","45051","Horry",FALSE
"89","40079","Oklahoma","Le Flore",c(117501.226643757, 1316395.36639748),11.5434854980026,"Old Town Poteau Farmer's Market, Craft Fair","312394","40079","Le Flore",FALSE
"90","40023","Oklahoma","Choctaw",c(41043.4645391626, 1218063.94729668),3.58812541659786,"Hugo Farmers' Market","312381","40023","Choctaw",FALSE
"91","40113","Oklahoma","Osage",c(-35284.213094022, 1509249.68020736),22.47689606024,"Cleveland Farmers' Market","312376","40117","Pawnee",TRUE
"92","41015","Oregon","Curry",c(-2267665.00248447, 2500388.51830825),28.7363946831255,"Brookings Midtown Farmers' and Artisans' Market","312421","41015","Curry",TRUE
"93","41045","Oregon","Malheur",c(-1733636.64000706, 2441554.402048),53.705240100332,"Parma Farmers' Market","309700","16027","Canyon",TRUE
"94","41001","Oregon","Baker",c(-1699425.65646153, 2607988.65598213),25.2180760548309,"North Powder Farmers Market","312459","41061","Union",TRUE
"95","42111","Pennsylvania","Somerset",c(1429095.22729281, 2011820.99133614),4.1791983627183,"Somerset County Farmers' Market Inc.","312632","42111","Somerset",FALSE
"96","42133","Pennsylvania","York",c(1621649.88525867, 2043008.9524379),2.82743187025924,"Market and Penn Street Farmers Market","312582","42133","York",FALSE
"97","45003","South Carolina","Aiken",c(1319844.61115406, 1263994.73831918),4.32389692197596,"Aiken County Farmers Market","314100","45003","Aiken",FALSE
"98","45091","South Carolina","York",c(1336075.08425929, 1428340.79414207),4.66168078708231,"The Market at Inman Farms","312729","45091","York",FALSE
"99","46127","South Dakota","Union",c(-53320.6819155771, 2204129.62102913),4.69563765779411,"Akron Farmers Market","310149","19149","Plymouth",FALSE
"100","46009","South Dakota","Bon Homme",c(-152845.765258677, 2222917.7367915),26.4814234769884,"Corps of Discovery Welcome Center Farmers Market","311613","31027","Cedar",TRUE
"101","46089","South Dakota","McPherson",c(-250726.893144852, 2535187.23241413),39.1487765835649,"Coteau Hills Farmers' Market","311593","38045","LaMoure",TRUE
"102","47065","Tennessee","Hamilton",c(976341.171164257, 1402733.30609509),0.828616239235733,"St. Albans Hixson Farmer's Market","312825","47065","Hamilton",FALSE
"103","47059","Tennessee","Greene",c(1168722.14381805, 1539379.61284862),1.05627104608285,"Depot Street Farmers Market","312773","47059","Greene",FALSE
"104","47091","Tennessee","Johnson",c(1251764.46223034, 1583035.06450445),2.88966569474276,"Johnson County Farmers' Market","312795","47091","Johnson",FALSE
"105","48355","Texas","Nueces",c(-159757.323542013, 519025.64047989),12.0454521665749,"Area Farmers Market","312838","48355","Nueces",FALSE
"106","48215","Texas","Hidalgo",c(-219342.09785261, 373840.194814591),9.93867037858918,"Grow'n Growers Farmers Market","312902","48215","Hidalgo",FALSE
"107","48061","Texas","Cameron",c(-153169.261774156, 343590.576570758),11.6521864105296,"Harlingen Farmers Market","301650","48061","Cameron",FALSE
"108","48479","Texas","Webb",c(-329637.945532176, 527378.051108565),103.260989182393,"Tri County Farmers Market Association","312981","48325","Medina",TRUE
"109","48057","Texas","Calhoun",c(-59055.0064103846, 604214.555127307),32.5005642655631,"Victoria Farmers' Market","300919","48469","Victoria",TRUE
"110","48323","Texas","Maverick",c(-421998.410719008, 639588.478397406),92.658026594094,"Tri County Farmers Market Association","312981","48325","Medina",TRUE
"111","48465","Texas","Val Verde",c(-496881.634590172, 770950.388040571),116.079443779293,"Concho Valley Farmers' Market","312862","48451","Tom Green",TRUE
"112","48039","Texas","Brazoria",c(53312.5120611334, 679696.331203666),24.290494260459,"Farmers Market Partners","301586","48157","Fort Bend",TRUE
"113","48229","Texas","Hudspeth",c(-887201.882014435, 974999.098286677),72.6116236755102,"Ardovino's Desert Crossing Farmers' Market","311743","35013","Doña Ana",TRUE
"114","48203","Texas","Harrison",c(152101.603813262, 1054192.08659442),14.7254006075065,"Jefferson Farmers Market","312915","48315","Marion",FALSE
"115","48387","Texas","Red River",c(87515.3304837753, 1173024.62308488),22.8999856094578,"Idabel Farmers Market","312382","40089","McCurtain",TRUE
"116","48315","Texas","Marion",c(152951.535994374, 1082088.25848312),2.63082192331527,"Jefferson Farmers Market","312915","48315","Marion",FALSE
"117","49045","Utah","Tooele",c(-1432826.87361804, 2066727.89741362),57.9236854166637,"Thanksgiving Point Farmers Market","313021","49049","Utah",TRUE
"118","49023","Utah","Juab",c(-1418749.77564628, 1979479.70140799),56.4065829515051,"Thanksgiving Point Farmers Market","313021","49049","Utah",TRUE
"119","51001","Virginia","Accomack",c(1763567.78607703, 1826085.40489231),7.26602881853012,"The Onancock Market","313245","51001","Accomack",FALSE
"120","51095","Virginia","James City",c(1675617.31862968, 1757635.31605393),5.7150854523741,"Williamsburg Farmers Market","301479","51830","Williamsburg",FALSE
"121","51131","Virginia","Northampton",c(1752707.73189236, 1775547.67451555),26.5624671563399,"The Onancock Market","313245","51001","Accomack",TRUE
"122","51057","Virginia","Essex",c(1647055.68606132, 1822030.1719676),5.07773600097123,"Tappahannock Farmers' Market","313234","51057","Essex",FALSE
"123","51107","Virginia","Loudoun",c(1563957.0703034, 1936642.32672407),3.86412598920974,"Leesburg Farmers' Market","313142","51107","Loudoun",FALSE
"124","51083","Virginia","Halifax",c(1500913.09711011, 1659730.23800154),0.515647746479972,"Town of Halifax Farmers Market","313252","51083","Halifax",FALSE
"125","53067","Washington","Thurston",c(-2025405.33493379, 2947306.54193135),5.10163355392405,"Tenino Farmers Market","301649","53067","Thurston",FALSE
"126","53029","Washington","Island",c(-1966761.16348355, 3072605.15815729),10.3960082955867,"Jefferson County Farmers Markets","313385","53031","Jefferson",FALSE
"127","54047","West Virginia","McDowell",c(1253616.33857553, 1687972.67483986),8.66211556640657,"Kimball Farmers' Market","313661","54047","McDowell",FALSE
"128","54011","West Virginia","Cabell",c(1185737.39055098, 1795911.26535012),10.8855421346749,"Pullman Square Farmers' Market","313676","54011","Cabell",FALSE
"129","54073","West Virginia","Pleasants",c(1261608.75735148, 1915186.47523764),12.6042132441479,"Ritchie County Farmers' Market","313677","54085","Ritchie",FALSE
"130","54037","West Virginia","Jefferson",c(1540235.14140798, 1956801.36918824),1.30511144765961,"Charles Town Farmers Market","300598","54037","Jefferson",FALSE
"131","54065","West Virginia","Morgan",c(1501821.91098757, 1978317.92294268),4.87379688879718,"Berkeley Springs Farmers Market","314314","54065","Morgan",FALSE
"132","17125","Illinois","Mason",c(512689.523351851, 1930238.34755454),16.5810109824965,"Lewistown Farmers Market","309854","17057","Fulton",FALSE
"133","54003","West Virginia","Berkeley",c(1523115.5256961, 1971369.67236377),1.29076288597217,"Greenfields Farm Market","313657","54003","Berkeley",FALSE
"134","17007","Illinois","Boone",c(587107.890866395, 2169210.68241102),4.01510444876609,"Belvidere Farmers' Market","309730","17007","Boone",FALSE
"135","55011","Wisconsin","Buffalo",c(337296.54670507, 2384166.84306896),13.7906857169102,"Wabasha Downtown Farmers' Market","308193","27157","Wabasha",FALSE
"136","55121","Wisconsin","Trempealeau",c(369125.260497676, 2377174.69624664),6.9647827889253,"Arcadia Farmers Market","313452","55121","Trempealeau",FALSE
"137","55075","Wisconsin","Marinette",c(623033.727412277, 2514413.48292825),27.862007699856,"Marinette Artisan & Farm Market","301439","55075","Marinette",TRUE
"138","56029","Wyoming","Park",c(-1073782.52652704, 2469173.07360838),26.071649472879,"Big Horn Basin Farmers' Market","313691","56029","Park",TRUE
"139","56039","Wyoming","Teton",c(-1162493.8583609, 2416199.61867839),29.7741024737845,"Teton Valley Farmers' Market","309702","16081","Teton",TRUE
"140","06057","California","Nevada",c(-2092584.35928911, 2082980.12297844),14.5415837108624,"Farm2Family Brunswick Farmers Market","308652","06057","Nevada",FALSE
"141","05085","Arkansas","Lonoke",c(373222.0921941, 1307358.36495209),15.6918164496254,"Jacksonville Farmers' Market","308414","05119","Pulaski",FALSE
"142","05099","Arkansas","Nevada",c(247949.824457539, 1180932.37397247),16.3434087935961,"HOPE Farmers' Market","308410","05057","Hempstead",FALSE
"143","05013","Arkansas","Calhoun",c(322395.677221177, 1171519.67515987),18.4092932109191,"Dallas County Farmer's Market","301470","05039","Dallas",FALSE
"144","06007","California","Butte",c(-2150235.76300013, 2141001.90246821),7.46354076592124,"Chico Certified Farmers Market - Paradise Tuesday","301274","06007","Butte",FALSE
"145","06089","California","Shasta",c(-2153061.73564422, 2269375.86067086),17.9981190899456,"Shasta Lake Farmers Market","308928","06089","Shasta",FALSE
"146","06047","California","Merced",c(-2149176.8212571, 1853326.38278325),14.9604957809844,"Merced Original County Farmers' Market","308880","06047","Merced",FALSE
"147","06009","California","Calaveras",c(-2106256.83015566, 1959371.30994952),6.16813764378477,"CalaverasGROWN Certified Farmers' Market San Andreas","301133","06009","Calaveras",FALSE
"148","06033","California","Lake",c(-2262143.73919799, 2106584.75327958),9.42122230313824,"Tuesday Market in Library Park","301573","06033","Lake",FALSE
"149","06115","California","Yuba",c(-2141582.42040301, 2092390.66644134),9.99665915803539,"Dobbins Certified Farmers Market","314085","06115","Yuba",FALSE
"150","08035","Colorado","Douglas",c(-761571.630869813, 1847663.10100497),4.78744262619364,"Castle Rock Farmers Market","309030","08035","Douglas",FALSE
"151","08019","Colorado","Clear Creek",c(-818258.391492594, 1893700.71247807),7.78482426558399,"Idaho Springs Chamber Of Commerce Farmers Market","309075","08019","Clear Creek",FALSE
"152","08049","Colorado","Grand",c(-853384.540266047, 1943937.81483263),9.72013376429483,"Granby Farmers Market","309069","08049","Grand",FALSE
"153","08029","Colorado","Delta",c(-1017179.49420263, 1822944.33943728),4.19123052231443,"Cedaredge Main Street Farmer's Market","309031","08029","Delta",FALSE
"154","08091","Colorado","Ouray",c(-1018925.87040272, 1743412.4828976),0.775009566776341,"Ridgway Farmers' Market","309114","08091","Ouray",FALSE
"155","08055","Colorado","Huerfano",c(-781573.119289877, 1664355.30879582),10.537036925064,"Walsenburg Farmers Market","309134","08055","Huerfano",FALSE
"156","08111","Colorado","San Juan",c(-1016302.62276251, 1698886.42823544),14.1273393819894,"Telluride Farmers' Market","309125","08113","San Miguel",FALSE
"157","09140","Connecticut","Naugatuck Valley",c(1879573.34799532, 2285240.88739224),2.74130591680873,"Naugatuck Farmers' Market","309208","09140","Naugatuck Valley",FALSE
"158","12107","Florida","Putnam",c(1375351.95866167, 829314.56949622),9.13568013484074,"Palatka State Farmers' Market","309406","12107","Putnam",FALSE
"159","12001","Florida","Alachua",c(1315542.0075336, 827883.345357827),1.98179787090343,"Grove Street farmers Market","301704","12001","Alachua",FALSE
"160","12129","Florida","Wakulla",c(1112938.65008085, 855958.616733411),5.47531942029175,"Growers' Market at Purple Martin Nurseries, Inc.","309347","12129","Wakulla",FALSE
"161","12041","Florida","Gilchrist",c(1272341.1489533, 827458.381384836),7.59237252790062,"Trenton Community Farmers' Market","309447","12041","Gilchrist",FALSE
"162","13089","Georgia","DeKalb",c(1079964.32271899, 1256432.24907319),1.26718173355596,"285 Farmers Market","309469","13089","DeKalb",FALSE
"163","13157","Georgia","Jackson",c(1134881.37208395, 1304290.04913966),1.11979668103292,"Jefferson Farmers Market","309569","13157","Jackson",FALSE
"164","13267","Georgia","Tattnall",c(1305695.54068184, 1092820.77988614),30.121653613937,"Jesup Farmers Market","309571","13305","Wayne",TRUE
"165","13031","Georgia","Bulloch",c(1329130.57282137, 1135887.23854865),4.29514976227877,"Main Street Farmers Market","309581","13031","Bulloch",FALSE
"166","13075","Georgia","Cook",c(1191050.17736412, 976472.447420699),11.745300521167,"Farmers Market Days","309539","13185","Lowndes",FALSE
"167","13289","Georgia","Twiggs",c(1169133.19298866, 1143606.83086665),14.0081723212364,"I C FARMERS MARKET, LLC","309568","13153","Houston",FALSE
"168","13303","Georgia","Washington",c(1222782.46926713, 1184975.65887873),1.29425194458704,"Downtown Sandersville Market","309527","13303","Washington",FALSE
"169","13301","Georgia","Warren",c(1226893.32449131, 1235088.17231934),19.3289989371494,"Sparta/Hancock Cooperative Market","309629","13141","Hancock",FALSE
"170","16085","Idaho","Valley",c(-1535260.75218422, 2578285.98663729),25.137332587152,"Donnelly Farmers Market","301157","16085","Valley",TRUE
"171","16023","Idaho","Butte",c(-1370439.7825235, 2427484.12321341),58.587075673911,"Idaho Falls Farmers' Market","300214","16019","Bonneville",TRUE
"172","16077","Idaho","Power",c(-1364476.57343764, 2309642.80461407),6.39186224301556,"American Falls Farmers Market","309674","16077","Power",FALSE
"173","17017","Illinois","Cass",c(486678.736192127, 1898751.82759429),9.71331666383514,"Spears Family Market/Farmer's Market","309958","17017","Cass",FALSE
"174","18035","Indiana","Delaware",c(892564.795736105, 1962308.62376271),1.5163715987143,"Minnetrista Farmers' Market","310090","18035","Delaware",FALSE
"175","18013","Indiana","Brown",c(834775.972536314, 1839855.11439784),1.34891209471788,"Brown County Homegrown & Homemade Village Market","310026","18013","Brown",FALSE
"176","18027","Indiana","Daviess",c(768037.134690521, 1777647.92042503),6.2102246418568,"Downtown Washington Farmers Market","314337","18027","Daviess",FALSE
"177","19041","Iowa","Clay",c(68767.3309999188, 2232222.467149),3.9086157163965,"Spencer Riverfront Farmers' Market","310282","19041","Clay",FALSE
"178","20139","Kansas","Osage",c(23543.5470138797, 1735957.41521518),9.10289388471009,"Burlingame Farmers' Market","310310","20139","Osage",FALSE
"179","20097","Kansas","Kiowa",c(-287481.733262782, 1618280.2800135),41.4942708693696,"Dodge City Farmers' Market","310320","20057","Ford",TRUE
"180","20069","Kansas","Gray",c(-387242.161850806, 1642497.85507104),22.8698599076459,"Dodge City Farmers' Market","310320","20057","Ford",TRUE
"181","20067","Kansas","Grant",c(-464195.239058985, 1626728.57269479),37.8795567877995,"Downtown Garden City Farmers' Market","310322","20055","Finney",TRUE
"182","21183","Kentucky","Ohio",c(800361.622704906, 1642896.15027064),5.17802793899826,"Beaver Dam Farmer's Market","301250","21183","Ohio",FALSE
"183","21193","Kentucky","Perry",c(1119517.93634052, 1653504.55670346),2.20633535235605,"Hazard/Perry County Farmers' Market","310457","21193","Perry",FALSE
"184","21115","Kentucky","Johnson",c(1144129.47980499, 1725028.46458759),2.82343663821991,"Johnson County Farmers Market","301243","21115","Johnson",FALSE
"185","21061","Kentucky","Edmonson",c(856681.397965044, 1618188.78529029),15.3823178397025,"Cave City Regional Farmers Market","310432","21009","Barren",FALSE
"186","21167","Kentucky","Mercer",c(967979.928476121, 1698367.8602177),4.78064539418844,"Mercer County Farmers' Market","310480","21167","Mercer",FALSE
"187","21237","Kentucky","Wolfe",c(1088557.9831663, 1705342.61997725),2.82507855370161,"Wolfe County Farmers Market","301295","21237","Wolfe",FALSE
